Concept;Definitie (indien nieuw);Reeds in GWSW?;Opmerking
Compartiment;;Ja;
Kolk;;Ja;
Slokop;;Ja;
Infiltratieput;;Ja;
Inspectieput;;Ja;
DIT-riool;;Ja;
DT-riool;;Ja;
Drain;;Ja;
Hemelwaterriool;;Ja;
Infiltratiekoffer;Een in de ondergrond aangebrachte ruimte gevuld met een substraat met een hoge porositeit, waarin het hemelwater wordt verdeeld over de ruimte en daarin tijdelijk wordt geborgen, waarbij het hemelwater via de bodem en wanden infiltreert in de ondergrond. ;Nee;
Infiltratiekrat;Een ondergrondse ruimte gevuld met individuele kratjes bestemd voor de berging van hemelwater, waarbij het hemelwater door middel van infiltratie door de wanden kan worden afgevoerd. Na aanleg van de voorziening functioneert het geheel van individuele kratjes als één krat en wordt deze als één object beheerd.;Ja;Defnitie is aangepast
Meetinstrument;;Ja;
Ondergrond;;Ja;
Begroeiing (IMBOR-concept);;Nee;
